,Target,N_specific_act_view,N_activity_count,N_total_submission,N_session_id_count,N_class_view_count,N_activity_page_view,N_material_view,N_avgspent_time,N_avgseconds_early,N_act+quiz_view,N_submit_button_clicked,N_expectation_met_count,N_avglevel
0,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.833333333333333,1.0,1.0,1.0,0.59375,0.533333333333333,0.0,0.0,0.893232674159212,0.352941176470588,0.714285714285714,0.0,0.0
4,4,1.0,1.0,1.0,0.25,0.90625,0.333333333333333,0.0,0.0,0.861009452875997,0.588235294117647,0.0,0.0,0.0
5,4,0.666666666666667,1.0,1.0,0.5,0.5,0.466666666666667,0.0,0.0,0.886518489568195,0.470588235294118,0.857142857142857,0.0,0.0
6,4,0.833333333333333,1.0,1.0,0.25,0.90625,0.733333333333333,1.0,0.0,0.778581973778978,0.529411764705882,0.428571428571429,0.0,0.0
7,4,0.166666666666667,1.0,1.0,0.75,0.09375,0.0666666666666667,0.0,0.0,0.992000778360586,0.0588235294117647,0.285714285714286,0.0,0.0
8,4,1.0,1.0,1.0,0.75,1.0,1.0,0.0,0.0,0.991803302343203,0.823529411764706,0.714285714285714,0.0,0.0
9,4,0.5,1.0,1.0,0.25,0.15625,0.2,0.0,0.0,1.0,0.117647058823529,0.0,0.0,0.0
10,4,0.833333333333333,1.0,1.0,1.0,0.90625,0.733333333333333,0.0,0.0,0.927255442030894,1.0,1.0,0.0,0.0
11,4,0.0,1.0,1.0,0.0,0.34375,0.266666666666667,1.0,0.0,0.0,0.176470588235294,0.0,0.0,0.0
12,4,0.0,1.0,1.0,1.0,0.09375,0.0,0.0,0.0,0.574144411449321,0.176470588235294,0.0,0.0,0.0
13,4,0.0,1.0,1.0,0.5,0.0,0.133333333333333,0.0,0.0,0.886837172159922,0.0,0.142857142857143,0.0,0.0
14,4,0.0,0.0,0.0,0.5,0.3,0.333333333333333,0.0,0.0,0.347617354196302,0.0,0.5,0.5,0.6666666666666666
15,4,0.0,0.0,0.0,0.0,0.4,0.666666666666667,0.0,0.0,0.905761024182077,0.4,1.0,0.5,0.6666666666666666
16,4,0.0,0.0,0.0,1.0,1.0,0.666666666666667,1.0,0.0,0.289651493598862,0.8,0.5,0.0,0.3333333333333333
17,3,0.0,0.0,0.0,0.5,0.5,0.666666666666667,0.0,0.0,0.508890469416785,0.2,0.0,0.0,0.0
18,4,0.0,0.0,0.0,0.5,0.4,0.666666666666667,0.0,0.0,0.0,0.4,0.5,0.5,0.6666666666666666
19,4,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.292140825035562,0.0,0.5,0.5,0.3333333333333333
20,5,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.58197012802276,0.2,0.0,0.5,0.6666666666666666
21,4,0.0,0.0,0.0,0.0,0.7,0.333333333333333,0.0,0.0,0.488264580369844,1.0,0.0,0.0,0.3333333333333333
22,5,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.470839260312945,0.2,0.0,1.0,1.0
23,4,0.0,0.0,0.0,0.5,0.6,1.0,0.0,0.0,0.7450213371266,0.2,0.5,0.0,0.3333333333333333
24,4,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.590327169274538,0.4,0.5,0.5,0.3333333333333333
25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
26,5,0.0,0.0,0.0,0.5,0.0,0.142857142857143,0.0,0.0,0.0,0.0,0.5,1.0,1.0
27,4,0.0,0.0,0.0,0.75,1.0,0.571428571428571,0.0,0.0,0.571032239548455,1.0,1.0,0.0,0.0
28,5,0.0,0.0,0.0,0.25,0.588235294117647,0.571428571428571,0.0,0.0,0.0851430211422559,0.727272727272727,0.75,1.0,1.0
29,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43164641729647,0.090909090909091,0.5,1.0,1.0
30,5,0.0,0.0,0.0,0.25,0.470588235294118,0.571428571428571,0.0,0.0,0.189706304410217,0.454545454545455,0.5,1.0,1.0
31,5,0.0,0.0,0.0,1.0,0.764705882352941,1.0,0.0,0.0,0.901081029369559,0.454545454545455,1.0,1.0,1.0
32,5,0.0,0.0,0.0,0.25,0.117647058823529,0.142857142857143,0.0,0.0,0.590739500621831,0.181818181818182,0.0,1.0,1.0
33,5,0.0,0.0,0.0,0.5,0.0,0.142857142857143,0.0,0.0,0.0657227590165503,0.0,0.0,1.0,1.0
34,5,0.0,0.0,0.0,0.0,0.823529411764706,0.428571428571429,1.0,0.0,1.0,0.636363636363636,0.0,1.0,1.0
35,5,0.0,0.0,0.0,0.25,0.176470588235294,0.428571428571429,0.0,0.0,0.729742657610256,0.090909090909091,0.0,1.0,1.0
36,5,0.0,0.0,0.0,0.25,0.117647058823529,0.142857142857143,0.0,0.0,0.244236104467617,0.272727272727273,0.5,1.0,1.0
37,4,0.333333333333333,0.0,0.0,0.25,0.419354838709677,0.7,0.0,0.0,0.290632506004804,0.1,0.75,0.0,0.0
38,4,1.0,0.0,0.0,0.125,0.193548387096774,0.2,1.0,0.0,0.0158526821457166,0.3,0.75,0.0,0.0
39,4,0.666666666666667,0.0,0.0,0.375,0.774193548387097,1.0,1.0,0.0,0.699599679743795,1.0,0.75,0.0,0.0
40,4,0.333333333333333,0.0,0.0,0.125,0.032258064516129,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,4,0.666666666666667,0.0,0.0,0.375,0.32258064516129,0.5,1.0,0.0,0.0,0.3,0.75,0.0,0.0
42,4,1.0,0.0,0.0,0.25,0.0967741935483871,0.4,0.0,0.0,0.216012810248199,0.1,0.0,0.0,0.0
43,4,0.666666666666667,0.0,0.0,0.5,0.580645161290323,0.7,0.0,0.0,0.341072858286629,0.2,0.5,0.0,0.0
44,4,0.666666666666667,0.0,0.0,0.25,0.32258064516129,0.3,0.0,0.0,0.623058446757406,0.5,0.0,0.0,0.0
45,4,0.333333333333333,0.0,0.0,0.25,0.290322580645161,0.1,1.0,0.0,0.361248999199359,0.4,1.0,0.0,0.0
46,5,0.333333333333333,0.0,0.0,1.0,1.0,0.7,0.0,0.0,0.615212169735789,0.8,0.25,1.0,1.0
47,4,0.0,0.0,0.0,0.0,0.129032258064516,0.2,0.0,0.0,0.882626100880704,0.0,0.0,0.0,0.0
48,4,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122658126501201,0.1,0.0,0.0,0.0
49,2,0.0,1.0,1.0,0.0909090909090909,0.178571428571429,0.117647058823529,0.0,0.742990654205608,0.0635676281153739,0.0,0.0,0.0,1.0
50,1,0.0,1.0,1.0,0.0909090909090909,0.392857142857143,0.0,0.0,0.83411214953271,0.0434052086250354,1.0,0.0,0.0,0.0
51,1,0.0,0.0,0.0,0.0909090909090909,0.321428571428571,0.294117647058823,0.0,0.989485981308411,0.973676841220947,0.25,0.0,0.0,0.0
52,2,0.0,1.0,1.0,0.0,0.5,0.235294117647059,0.0,0.960280373831776,0.0131615793895268,0.875,0.0,0.0,1.0
53,1,0.0,1.0,1.0,0.272727272727273,0.142857142857143,0.117647058823529,0.0,0.816588785046729,0.0492859143097175,0.5,0.0,0.0,0.0
54,2,0.0,1.0,1.0,0.0909090909090909,0.214285714285714,0.176470588235294,0.125,0.732476635514019,0.0672080649677964,0.5,0.0,0.0,1.0
55,2,0.0,1.0,1.0,1.0,0.714285714285714,0.470588235294118,0.375,0.858644859813084,0.0425651078129379,0.0,0.0,0.0,1.0
56,1,0.0,1.0,1.0,0.0909090909090909,0.821428571428571,1.0,0.0,0.690420560747663,0.0134416129935593,0.375,0.0,0.0,0.0
57,2,0.0,1.0,1.0,0.0909090909090909,0.107142857142857,0.235294117647059,0.0,1.0,0.0,0.375,0.0,0.0,1.0
58,1,0.0,1.0,1.0,0.0909090909090909,0.0,0.0,0.0,0.865654205607476,0.0036404368524225,0.25,0.0,0.0,0.0
59,1,0.0,1.0,1.0,0.0909090909090909,0.285714285714286,0.117647058823529,0.125,0.417056074766355,0.0109213105572672,0.25,0.0,0.0,0.0
60,2,0.0,1.0,1.0,0.545454545454545,1.0,0.470588235294118,1.0,0.561915887850467,0.134976197143657,0.625,0.0,0.0,1.0
61,2,0.0,1.0,1.0,0.181818181818182,0.25,0.117647058823529,0.0,0.733644859813084,0.070568468216186,0.5,0.0,0.0,1.0
62,2,0.0,1.0,1.0,0.272727272727273,0.642857142857143,0.529411764705882,0.0,0.349299065420561,0.200224026883226,1.0,0.0,0.0,1.0
63,1,0.0,1.0,1.0,0.0,0.214285714285714,0.176470588235294,0.125,0.170560747663552,0.163539624754971,0.375,0.0,0.0,0.0
64,2,0.0,1.0,1.0,0.181818181818182,0.357142857142857,0.235294117647059,0.0,0.663551401869159,0.0823298795855503,0.75,0.0,0.0,1.0
65,1,0.0,1.0,1.0,0.0909090909090909,0.25,0.294117647058823,0.125,0.68107476635514,0.0630075609073093,0.25,0.0,0.0,0.0
66,1,0.0,1.0,1.0,0.0,0.107142857142857,0.176470588235294,0.0,0.682242990654206,0.0882105852702328,0.25,0.0,0.0,0.0
67,1,0.0,1.0,1.0,0.181818181818182,0.214285714285714,0.294117647058823,0.125,0.842289719626168,0.0271632595911511,0.125,0.0,0.0,0.0
68,1,0.0,0.0,0.0,0.0,0.0357142857142857,0.0588235294117647,0.0,0.491822429906542,0.762531503780454,0.125,0.0,0.0,0.0
69,1,0.0,1.0,1.0,0.181818181818182,0.0714285714285714,0.176470588235294,0.0,0.748831775700935,0.0579669560347242,0.125,0.0,0.0,0.0
70,1,0.0,1.0,1.0,0.0909090909090909,0.392857142857143,0.176470588235294,0.0,0.0,0.258751050126016,0.625,0.0,0.0,0.0
71,1,0.0,1.0,1.0,0.0909090909090909,0.0714285714285714,0.0,0.0,0.619158878504673,0.0963315597871746,0.5,0.0,0.0,0.0
72,2,0.0,1.0,1.0,0.0,0.142857142857143,0.235294117647059,0.0,0.905373831775701,0.0630075609073093,0.25,0.0,0.0,1.0
73,1,0.0,0.0,0.0,0.0909090909090909,0.214285714285714,0.176470588235294,0.0,0.835280373831776,1.0,0.5,0.0,0.0,0.0
74,2,0.0,1.0,1.0,0.0909090909090909,0.0714285714285714,0.117647058823529,0.0,0.927570093457944,0.0162419490338843,0.375,0.0,0.0,1.0
